,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction
DDX11,1.7943417635604,3.25236214724956,8.86705308304763,1.2123644382108e-09,1.64330145503278e-08,11.7482934088861,up
EXO1,4.43091149673647,0.00956434569235987,8.8722842012189,1.1974554235723e-09,1.62986294513965e-08,11.7393210512119,up
GRHL2,0.986200538574876,5.23599803269978,8.92428725786486,1.05906572974885e-09,1.46524203018009e-08,11.7292396709499,no DE
SMARCC1,0.865635115208473,6.64733084077011,8.93416026333556,1.03469959869139e-09,1.4398650172408e-08,11.7255693865682,no DE
TMEM69,0.998310439910546,4.20831919990324,8.86937973694977,1.20571000692312e-09,1.63768290534522e-08,11.7233739873497,no DE
ICA1,1.25917455309883,4.62973484437807,8.88321069597709,1.16691662588556e-09,1.59494897567374e-08,11.7151199164173,up
DIXDC1,-1.23304070165071,4.79036134957224,-8.92628871966835,1.05407917814183e-09,1.4621568025808e-08,11.7097372429738,down
TAF1A,1.31098276419904,1.81121638774145,8.70295341768999,1.79063378780057e-09,2.28924023821359e-08,11.709692929348,up
DDOST,0.764987692675488,7.71353325292419,8.90131001805321,1.11807303856277e-09,1.53623235498525e-08,11.6978067102494,no DE
MS4A4A,-1.77626007133778,4.93737560306386,-8.8916562221755,1.14385900853928e-09,1.56671475744629e-08,11.6859350150591,down
MGC42105,-2.6492975415081,1.37367218327101,-8.66522909284966,1.95957465930312e-09,2.46895058184205e-08,11.6768518110416,down
MSI2,1.86433077390695,2.71096114068216,8.7051943152663,1.78108012472233e-09,2.27925871254907e-08,11.6747585961546,up
FCGR1A,-1.52174117861561,3.41085325662421,-8.81792480130072,1.36200401203805e-09,1.81225671448855e-08,11.6729413941064,down
LPCAT3,-1.07579217990013,6.49034555253758,-8.90816506486646,1.10012465641839e-09,1.51316408221593e-08,11.6573605836525,down
ITM2B,-1.0461235517564,9.81774511724144,-8.81295158561039,1.37816987652899e-09,1.8300357475415e-08,11.6492296543055,down
SORD,1.69443588076246,3.84271398915968,8.7937555135537,1.44243269089173e-09,1.89799132199695e-08,11.6484415726519,up
ZBTB41,0.975507333898515,4.91473535436891,8.87735077359841,1.18319425747796e-09,1.61381762203342e-08,11.6456992797533,no DE
COG2,1.01648749306015,4.91772606284278,8.87290902957226,1.1956872145842e-09,1.62915503256446e-08,11.6436940982988,up
RNF144B,-1.77660990034111,6.23209115453382,-8.89869639218578,1.12499491107245e-09,1.54411762084423e-08,11.6417332996421,down
STK39,1.49257604161476,4.75745302485942,8.8491468478447,1.2648523299789e-09,1.69857175547476e-08,11.638636577051,up
MMACHC,1.56806030857608,1.95184164003975,8.65749862067716,1.99616087802948e-09,2.51020115037753e-08,11.6241670296509,up
CLIC3,-2.47729132150073,5.45589261488383,-8.88577599620182,1.15986307429229e-09,1.58696988561187e-08,11.6203118413877,down
NINJ2,-1.49541477298357,4.08466752450992,-8.84049899202164,1.29102881982421e-09,1.73016418738865e-08,11.6077061683656,down
RCCD1,1.44107012304074,2.42661162075398,8.66999093503544,1.93738029564343e-09,2.44334541053465e-08,11.5958881943469,up
SLFN11,-1.4005688223821,5.97946677565302,-8.88266546010366,1.16842145637326e-09,1.5953352792929e-08,11.594654249413,down
MYBBP1A,1.0635328567902,5.22308357697738,8.86948137351488,1.20542017128733e-09,1.63768290534522e-08,11.5905656505822,up
VGLL3,-1.79472711513627,5.27605335453948,-8.86788340022851,1.20998535587599e-09,1.641781585265e-08,11.5865849694993,down
MANF,1.27088027068448,5.33001167842358,8.86142568034211,1.22861516342945e-09,1.66187707028442e-08,11.5845875837926,up
MCM4,2.35539933847642,4.39987628242995,8.81096351202634,1.38468710211483e-09,1.83495642070101e-08,11.583273073377,up
IL34,-1.66147086025888,2.88138367340537,-8.76709009435834,1.53682697214497e-09,2.00002018618229e-08,11.5789875513993,down
ARRB1,-1.4712545344443,6.04782082765278,-8.86441879214165,1.21994413322496e-09,1.65186003848396e-08,11.5616713261696,down
SETDB1,0.951495531463993,5.26073318127269,8.85517306405069,1.24693308734619e-09,1.68130094265874e-08,11.5583059877904,no DE
SLA,-1.496870491449,5.47498676580392,-8.85708309678921,1.24130791105844e-09,1.67557312958074e-08,11.5541379399154,down
TFAP2A,4.6604470587985,0.46380341473901,8.73499166244178,1.65888979136511e-09,2.12915323959574e-08,11.5479001968991,up
SIGLEC9,-1.45359280277504,2.31212256468249,-8.66143417406982,1.97744846263064e-09,2.48906796361791e-08,11.5383173542484,down
DNAJA3,0.695882018166487,5.22867948879714,8.84541535891893,1.27608001952176e-09,1.7118882317387e-08,11.538262509668,no DE
HVCN1,-1.34447297178942,3.78266527508887,-8.78733818912954,1.46459344141184e-09,1.91941146493462e-08,11.5349345776205,down
RICH2,-1.82336444783634,5.41259671531673,-8.85023660490614,1.26159247083537e-09,1.69593887969249e-08,11.5246551207135,down
CFL2,-1.57988999913927,5.74328604421155,-8.85170871380077,1.25720250788701e-09,1.69177982839681e-08,11.521805066176,down
HEG1,-2.43488671788481,7.62139294130788,-8.7911058680899,1.45154073938892e-09,1.90805249458647e-08,11.518213081149,down
SLC2A3,-1.75909335546708,6.45750508888431,-8.83244830660047,1.31589607544412e-09,1.75987617548895e-08,11.5142768204635,down
PSMD11,1.0971358204943,5.51599841008461,8.83611669107264,1.30450479515077e-09,1.74643088113876e-08,11.5069495615058,up
HMGB3,2.7859748018546,5.44825648334694,8.81700977708534,1.3649637407863e-09,1.81434538782929e-08,11.5044392513955,up
KCNK3,-2.50052867345329,4.71767537918801,-8.83194677802976,1.31746134302202e-09,1.76016611161376e-08,11.5037053111821,down
OSBPL11,-0.924196534222809,5.30680126957344,-8.83148832091685,1.3188938520383e-09,1.76027826693823e-08,11.5003850497801,no DE
PPAP2B,-1.41441916766433,6.95032446829342,-8.80854143207573,1.39266971296828e-09,1.84366305916581e-08,11.4925547009213,down
KIF23,3.14187169677235,1.95248048096408,8.59222127442339,2.33437237001403e-09,2.87187205898145e-08,11.4904645067622,up
CACNA2D2,-3.19368664870885,7.05279967529502,-8.80199657278877,1.4144764636774e-09,1.86874102028149e-08,11.489469111296,down
GNL3,1.21150012139173,5.53557356015185,8.82754750680137,1.33127337954405e-09,1.77498584506522e-08,11.4893812188787,up
WNT7A,-2.38505873411403,2.31711883922422,-8.68872937632397,1.85251054814104e-09,2.3607310106124e-08,11.4759052872886,down
CDCA8,3.69478763175957,1.70977366976506,8.57427561926093,2.43724994955764e-09,2.98437369526979e-08,11.4660781281672,up
ZFP64,0.90903345178029,3.66652205284509,8.74245605845335,1.62964657918055e-09,2.10140079291817e-08,11.4567653238127,no DE
PDZD11,0.861372619481644,4.6710480866711,8.78912840178382,1.45837653796973e-09,1.91476485382812e-08,11.4548296757252,no DE
EARS2,0.880762206254883,4.46267654017527,8.78205764902375,1.48308972953566e-09,1.93975653703698e-08,11.4507433441306,no DE
FTSJ1,0.643926636840882,4.75713222986981,8.78878096799608,1.45958096189304e-09,1.91476485382812e-08,11.4460272218245,no DE
HN1,1.59413459066884,5.89861534859408,8.79584458240782,1.43529285085019e-09,1.89241187698459e-08,11.427650149864,up
C6orf145,-1.32296632148134,5.83307208979103,-8.81148516082511,1.38297400694069e-09,1.83454875128016e-08,11.4228429730108,down
NME4,1.27244139567991,5.43305157709382,8.80336235179836,1.40989716339554e-09,1.86457828508632e-08,11.4155217169966,up
DACT3,-1.08348958960681,3.11143645789125,-8.7627797666003,1.55266867683814e-09,2.01130112760138e-08,11.4124088829604,down
SAMD10,1.58062169132016,2.57675688267419,8.58175298448421,2.3938320653637e-09,2.93671898018726e-08,11.4041360216871,up
SLCO2A1,-2.41918796131275,6.80242865928756,-8.76589370248038,1.54120740401373e-09,2.00172937757127e-08,11.4029439744109,down
NKD1,-1.27540975351474,1.90568991090243,-8.67474112856004,1.9154963928302e-09,2.42434278072476e-08,11.4027022219784,down
EPM2A,-0.852084146665188,2.80136814872384,-8.68844089980995,1.85378785403946e-09,2.3607310106124e-08,11.3992324189709,no DE
PDXDC1,0.886374280093726,6.80845548852714,8.79448646091961,1.43993039691912e-09,1.89661064288449e-08,11.3845104440324,no DE
EGFL6,-1.22174026974734,4.35901681959501,-8.76961966570525,1.52760717639252e-09,1.99598162897413e-08,11.3562290314026,down
DENND2A,-1.54664946650334,4.18216300476653,-8.76650497300889,1.53896772312085e-09,2.00081132369487e-08,11.3559128300056,down
CYP2F1,-4.41205629708971,-0.887209062019364,-8.5320176841184,2.69822161720003e-09,3.27931906604395e-08,11.3552612512323,down
FANCI,2.3735766622674,3.42846179414765,8.64530524774814,2.05529515636741e-09,2.5697095475157e-08,11.3484517291073,up
PHACTR2,-1.50798415599295,6.34140806537642,-8.76263606917433,1.55319967564712e-09,2.01130112760138e-08,11.3476596825825,down
FAM65A,-1.63502331932637,6.89691206034045,-8.75166260697877,1.59430334705727e-09,2.06248182251126e-08,11.3466290652336,down
CNP,0.806940576989702,6.20137210059837,8.7672857589687,1.53611178499974e-09,2.00002018618229e-08,11.3148593360019,no DE
MYL9,-2.34282911352846,8.36963581875039,-8.69585133939673,1.82126008480116e-09,2.32611623159584e-08,11.3129747485772,down
C1orf54,-1.13766713561556,2.63128975633233,-8.6468023730635,2.04793906455866e-09,2.5629672684261e-08,11.3127692192951,down
NCKAP1L,-1.79763660907703,5.85682897844028,-8.76292028883674,1.55214959082416e-09,2.01130112760138e-08,11.309090109185,down
N4BP1,-0.977788284479275,6.65223081248634,-8.74215200516999,1.63082739847246e-09,2.10140079291817e-08,11.3006858152834,no DE
TIMELESS,1.79354889700752,4.11817293641693,8.67475002057902,1.91545566576687e-09,2.42434278072476e-08,11.2945165461355,up
TFAP4,1.3421478367513,2.71061605780788,8.59008941386015,2.34635758078195e-09,2.88389882315883e-08,11.2886435935603,up
LAIR1,-1.7140790883796,5.41839440473312,-8.74516238637587,1.619174774555e-09,2.09051318815692e-08,11.2875825602883,down
EMILIN2,-1.42269089514149,5.43229816028459,-8.73982799877847,1.63988186369313e-09,2.10890423318093e-08,11.2872505255922,down
LYPLA2,0.886163791843218,5.97863120608474,8.75043687334871,1.59896321265492e-09,2.06646206086977e-08,11.2850023451485,no DE
PDE3B,-1.37420806037245,4.47767061932701,-8.72687748402413,1.69128833935189e-09,2.16860380093912e-08,11.268904638239,down
ZWINT,2.99118009729681,2.86944030581721,8.50248095991478,2.89745524458319e-09,3.46024549931787e-08,11.2650399183753,up
KIF2C,4.35140467374347,1.12463663143062,8.52150675043429,2.76746341727355e-09,3.33984673149673e-08,11.2518432292316,up
XPO5,1.16130470329309,5.16911853202877,8.7234108360274,1.70532680111521e-09,2.18445836456888e-08,11.2429032000189,up
TRAF7,0.916040608556983,6.38694947081186,8.73539699280116,1.65728812864573e-09,2.12915323959574e-08,11.2375945909403,no DE
SPATS2,1.16165255942928,4.17169222411061,8.67700187278002,1.90517024059112e-09,2.41673344513468e-08,11.2243167718726,up
PIK3R5,-1.5932816989901,4.28046560401245,-8.60781497617303,2.24858812776477e-09,2.77680424141093e-08,11.2049963454694,down
VWF,-2.42147926981289,8.98856893137834,-8.61046789707946,2.23431800474562e-09,2.76179478370687e-08,11.2004297521895,down
PCSK9,-2.40191792550453,4.57632731410762,-8.67849772316418,1.89836913394171e-09,2.41044866783474e-08,11.181227299963,down
HLF,-1.92437645078168,5.06390533650604,-8.69410867895529,1.82885651427913e-09,2.33353510077081e-08,11.1535761958036,down
MRPL24,1.366976436483,5.11258939454491,8.67190107504505,1.92854979125829e-09,2.43456096956426e-08,11.1506938969239,up
PIAS3,1.08080368455308,5.21939900940195,8.6825023696931,1.88028341158988e-09,2.3898090916731e-08,11.1481246729359,up
GATA6,-2.03267517248686,5.07568059030821,-8.68716657740709,1.85944104353242e-09,2.36562221649403e-08,11.1372306797123,down
GINS2,2.9598099197588,0.975131114105017,8.44456292161376,3.33295512010763e-09,3.86711672735687e-08,11.1233283361329,up
PTGFRN,1.54661809260269,5.65284936510655,8.67446953068977,1.91674078733468e-09,2.42434278072476e-08,11.1194637939129,up
TPPP3,-3.12561729011404,6.67632823750048,-8.65607037879716,2.00299647008499e-09,2.51637275495855e-08,11.1165471023965,down
C20orf20,1.19230129106885,3.56993715710208,8.57071417536613,2.45821210355892e-09,3.00722048620006e-08,11.1134551246558,up
HPGDS,-1.88521754475676,2.56091277180729,-8.54049180020621,2.64368900312431e-09,3.22204225562853e-08,11.1098069458596,down
CDH6,-1.24489474987459,2.55666983050734,-8.60071820013022,2.28722189132998e-09,2.81917916407274e-08,11.0971464143008,down
ACOXL,-2.05372553151413,2.55798254396328,-8.5138344306389,2.81915077362689e-09,3.38843232487585e-08,11.096222980845,down
LSM12,0.812347188423449,5.23160099866408,8.65523154636704,2.00702229529513e-09,2.5190059635084e-08,11.0961552703117,no DE
TTC28,-1.20021082994521,5.36037045567127,-8.67357775144318,1.92083251937237e-09,2.42716620284294e-08,11.0902865080186,down
BRIX1,1.2411416499547,4.67237085976804,8.62794677526753,2.14258579310356e-09,2.67306312000822e-08,11.0701242430274,up
CSRNP1,-2.04927126673012,7.1514468466135,-8.627728930944,2.14370504180247e-09,2.67306312000822e-08,11.065458155244,down
MYO1B,-1.15085064941762,7.93340926551535,-8.61710759555278,2.19900756515536e-09,2.72531109854829e-08,11.0643265697608,down
DNA2,2.65211642543281,1.0440269760672,8.40935801273097,3.62984006486386e-09,4.16713301377906e-08,11.0554558594159,up
ESRP1,1.05817091488161,6.17191536084473,8.65334656616093,2.0160991471722e-09,2.52796754736204e-08,11.0443724766257,up
C1orf56,1.64665578030043,2.62768753089842,8.44573644510819,3.32349774678481e-09,3.85957438512297e-08,11.0363234981788,up
NRGN,-2.36246844125886,5.66146576906027,-8.64687761957444,2.04757005416735e-09,2.5629672684261e-08,11.033905432424,down
KIAA0406,0.892149802710565,4.70812007373452,8.62440418359325,2.16086146785815e-09,2.68882028026239e-08,11.0325441488362,no DE
ACTR3B,1.15348672657917,2.29173129560255,8.45177353225478,3.27527697395206e-09,3.83084142840468e-08,11.0300472007216,up
C5orf28,0.884442128989348,3.61689077954567,8.53351495878644,2.68850334623306e-09,3.27360393455038e-08,11.0232031320022,no DE
SYNJ2,2.05920089190274,3.22385234076144,8.50725955553213,2.86422988490477e-09,3.43446548623039e-08,11.0227055919262,up
ID3,-1.58786280921913,5.90720910569769,-8.62039337112052,2.18174520336976e-09,2.70964035581213e-08,11.0204640532171,down
SULT1A2,-1.73033351756691,2.45562261348173,-8.49603164695071,2.94292297888707e-09,3.50172959374776e-08,11.0122129437841,down
TMEM182,1.71213764107523,1.93718719488765,8.38547094946646,3.84655708964251e-09,4.36592255185024e-08,11.0051950682644,up
BAIAP2L1,1.27008159652024,5.6389919490046,8.6168007779372,2.20062659761733e-09,2.72531109854829e-08,11.0027381451957,up
DDX52,0.78982107940061,4.67145505638144,8.6019974679738,2.28020792007176e-09,2.81319035734373e-08,10.9950590626219,no DE
ANKRD22,3.26470495264349,2.56065396238992,8.43704326975289,3.39421224513604e-09,3.9277174145178e-08,10.9929596391153,up
APOC2,-2.33488607955063,3.33660834305087,-8.50001060706084,2.91478577559199e-09,3.47458435879473e-08,10.9882538052756,down
SDC2,-1.62061329433968,6.26468361892067,-8.62183813266384,2.17419884613773e-09,2.70283976558436e-08,10.9868807706257,down
HLA-DRB5,-2.11654778160374,7.96136864872176,-8.6276515859705,2.14410257155337e-09,2.67306312000822e-08,10.9840922723902,down
APBB1,-1.35802651647463,5.40294976371329,-8.62661608120673,2.14943202156423e-09,2.6771503986143e-08,10.979641181989,down
TIMP1,1.44214529315787,7.49340085502926,8.61786281104264,2.1950275902231e-09,2.72354516494127e-08,10.9758746393663,up
TUBB3,4.4585423955425,3.40834846179492,8.36978081070144,3.99606335483468e-09,4.51216392479732e-08,10.9544812615061,up
CBX3,1.09356372974806,6.9885598434945,8.61062691792307,2.23346557645591e-09,2.76179478370687e-08,10.9448819379298,up
GAS6,-2.40100511554439,8.11845067654082,-8.54826500229792,2.59465820199492e-09,3.16820145094852e-08,10.940338145809,down
EGLN3,2.34729653751287,3.42592966248901,8.51855446284702,2.78723688458887e-09,3.35625489433012e-08,10.9351605914255,up
PYCRL,1.39229213165723,3.98976527719758,8.50568819147261,2.87511229600299e-09,3.43985708521788e-08,10.9238491078566,up
LRRK2,-3.24812760413797,7.66993736090977,-8.55910060593452,2.52785794542753e-09,3.08952525858291e-08,10.9013329909411,down
ASPM,4.14813845733701,1.44410709477779,8.3392617462309,4.30411564322633e-09,4.80595564508412e-08,10.8954245652948,up
DAP3,1.04021575012735,6.2389024551525,8.59316181540216,2.32910462191964e-09,2.86809458772802e-08,10.8946075112433,up
FANCF,1.1220378743445,3.76659498640095,8.50709847021745,2.86534353367417e-09,3.43446548623039e-08,10.888281346366,up
HSPC159,-1.66162230421913,5.59466359165862,-8.58781424187863,2.35921792702395e-09,2.89697757304267e-08,10.8836417236523,down
TCP11L2,-1.03062401054477,3.73162286231331,-8.52169303902994,2.76622053851138e-09,3.33984673149673e-08,10.882671893954,down
PKM2,0.965763373944933,9.85185891363327,8.51802643952636,2.79078861651475e-09,3.35743445266055e-08,10.8809179704548,no DE
IARS2,0.950674191020733,6.80367002104824,8.57887881036558,2.41042679859046e-09,2.9543005635682e-08,10.8668059157124,no DE
FANCD2,1.85809805251913,2.48468077554517,8.36244849223759,4.06795445613009e-09,4.58540669394353e-08,10.8639435091238,up
PFDN6,1.09296053810185,4.09403477963296,8.48255584798982,3.04029734447295e-09,3.59465590918528e-08,10.8617778801307,up
LDHA,1.22144432643844,8.81032800949329,8.54105271585962,2.64011941873157e-09,3.22069895071992e-08,10.8585231194172,up
SLC44A2,-1.13251706363324,8.18761194661865,-8.52077356143998,2.77236065125978e-09,3.34142415336047e-08,10.8549868399945,down
AK3L1,3.61013717257665,1.05108582303369,8.29523017039554,4.79190827938646e-09,5.28110687902899e-08,10.7842031682045,up
STX2,-1.22963470315453,4.48494172295754,-8.52443517350157,2.74799148790194e-09,3.32741492500779e-08,10.7728912349722,down
KLF9,-1.43310073214111,6.81806949600869,-8.53135823129975,2.70251327702331e-09,3.28147960976607e-08,10.7678355009748,down
SLCO2B1,-2.16705622919378,7.10744431032483,-8.50844520167657,2.85604663386701e-09,3.42962067266477e-08,10.766011987908,down
